sku;model;podkategorija;naziv;kratki opis;dugi opis;proizvoðaè;cijena;popust (koeficjent, npr. 0.1);zaliha;novo (da/ne);akcija (da/ne);najprodavaniji (da/ne);vrijeme dostave (dana);redoslijed (0,1,2...);besplatna dostava (da/ne);best buy (da/ne);wifi (da/ne);širina (cm);visina (cm);dubina (cm);snaga (W);boja;energetski razred;ne propustite priliku (da/ne);insert (bioetanol/elektrièni)
7090019821522;;Mill uljni radijatori;Mill AB-H1000DN - uljni radijator;Mill uljni radijator sa Heat Boost tehnologijom, 1000W jaèina, 3 stupnja podešavanja jaèine 400/600/1000W, LED zaslon, elektronski termostat sa 24-satni program, èeliène fronte, aluminijsko postolje, tip-over prekidaè(automatsko iskljuèivanje ukoliko se prevrne), zaštita od pregrijavanja(automatsko iskljuèivanje), dužina naponskog kabla 1.6m, težina 7.9kg, preporuèena velièina prostorije 8-15m? Ovaj proizvod je prikladan samo za dobro izolirane prostorije ili povremenu upotrebu.;;Mill;1209;;;;;;2-3 radna dana;;DA;DA;ne;26.8;65.6;15;1000;bijela;;;
7090019821539;;Mill uljni radijatori;Mill AB-H1500DN - uljni radijator;Mill uljni radijator sa Heat Boost tehnologijom, 1500W jaèina, 3 stupnja podešavanja jaèine 600/900/1500W, LED zaslon, elektronski termostat sa 24-satni program, èeliène fronte, aluminijsko postolje, tip-over prekidaè(automatsko iskljuèivanje ukoliko se prevrne), zaštita od pregrijavanja(automatsko iskljuèivanje), dužina naponskog kabla 1.6m, težina 9.9kg, preporuèena velièina prostorije 16-24m? Ovaj proizvod je prikladan samo za dobro izolirane prostorije ili povremenu upotrebu.;;Mill;1389;;;;;;2-3 radna dana;;DA;DA;ne;34.4;65.6;26.1;1500;bijela;;;
7090019822383;;Mill uljni radijatori;Mill AB-H1500WIFI - uljni radijator;Mill Heat Boost tehnologija, Mill uljni radijator sa integriranim WIFI-om, jaèina 1500W, 3 stupnja podešavanja jaèine 600/900/1500W, LED zaslon, super precizan elektronski termostat, napredna kontrola termostata Millheat app+WIFI, èeliène fronte, aluminijsko postolje, tip-over prekidaè(automatsko iskljuèivanje ukoliko se prevrne), zaštita od pregrijavanja(automatsko iskljuèivanje), dužina naponskog kabla 1.6m, težina 11.3kg, preporuèena velièina prostorije 16-24m? Ovaj proizvod je prikladan samo za dobro izolirane prostorije ili povremenu upotrebu.;;Mill;1539;;;;;;2-3 radna dana;;DA;DA;da;34.4;65.6;15;1500;bijela;;;
7090019821546;;Mill uljni radijatori;Mill AB-H2000DN - uljni radijator;Mill uljni radijator sa Heat Boost tehnologijom, 2000W jaèina, 3 stupnja podešavanja jaèine 800/1200/2000W, LED zaslon, elektronski termostat sa 24-satni program, èeliène fronte, aluminijsko postolje, tip-over prekidaè(automatsko iskljuèivanje ukoliko se prevrne), zaštita od pregrijavanja(automatsko iskljuèivanje), dužina naponskog kabla 1.6m, težina 12.1kg, preporuèena velièina prostorije 15-25m? Ovaj proizvod je prikladan samo za dobro izolirane prostorije ili povremenu upotrebu.;;Mill;1629;;;;;;2-3 radna dana;;DA;DA;ne;42;65.6;26.1;2000;bijela;;;
7090019821959;AVWIFI;Mill norveški radijatori;Mill AV1200WIFI Glass - zidni norveški radijator;Mill zidni norveški radijator sa integriranim WIFI-om, jaèina 1200W, staklena fronta, super precizan termostat, napredna kontrola termostata Millheat app+WIFI, funkcija kalibracije temperature, aluminijski grijaè(uèinkovitost+niska površinska temperatura), H nosaè sa vijcima, pogodan za kupaonice(zona2, klasifikacija IPX4 zaštita od vode pod bilo kojim kutem), neèujan rad, dužina naponskog kabla 1.3m, težina 10kg, preporuèena velièina prostorije 14-18m?;;Mill;1439;;;;;;2-3 radna dana;;DA;DA;da;106.5;40;8;1200;bijela;;;
7090019821935;AVWIFI;Mill norveški radijatori;Mill AV600WIFI Glass - zidni norveški radijator;Mill zidni norveški radijator sa integriranim WIFI-om, jaèina 600W, staklena fronta, super precizan termostat, napredna kontrola termostata Millheat app+WIFI, funkcija kalibracije temperature, aluminijski grijaè(uèinkovitost+niska površinska temperatura), H nosaè sa vijcima, pogodan za kupaonice(zona2, klasifikacija IPX4 zaštita od vode pod bilo kojim kutem), neèujan rad, dužina naponskog kabla 1.3m, težina 6.7kg, preporuèena velièina prostorije 8-11m?;;Mill;1069;;;;;;2-3 radna dana;;DA;DA;da;66.5;40;8;600;bijela;;;
7090019822307;AVWIFI;Mill norveški radijatori;Mill AV900WIFI Glass - zidni norveški radijator;Mill zidni norveški radijator sa integriranim WIFI-om, jaèina 900W, staklena fronta, super precizan termostat, napredna kontrola termostata Millheat app+WIFI, funkcija kalibracije temperature, aluminijski grijaè(uèinkovitost+niska površinska temperatura), H nosaè sa vijcima, pogodan za kupaonice(zona2, klasifikacija IPX4 zaštita od vode pod bilo kojim kutem), neèujan rad, dužina naponskog kabla 1.3m, težina 8kg, preporuèena velièina prostorije 11-15m?;;Mill;1269;;;;;;2-3 radna dana;;DA;DA;da;86.5;40;8;900;bijela;;;
7090019822642;;Mill konvektori;Mill CUS1800MECW - grijalica;Mill PTC grijalica, jaèina 1800W, 2 stupnja podešavanja jaèine 1200/1800W, PTC grijaèi element, mehanièki termostat, èeliène fronte, ventilator za brzo zagrijavanje, tip-over prekidaè(automatsko iskljuèivanje ukoliko se prevrne), zaštita od pregrijavanja(automatsko iskljuèivanje), dužina naponskog kabla 1.5m, težina 1.9kg, preporuèena velièina prostorije 5-30m?;;Mill;479;;;;;;2-3 radna dana;;DA;DA;ne;62;39;8.3;1800;bijela;;;
7090019821058;IBDN;Mill norveški radijatori;Mill IB1200DN Steel - zidni norveški radijator;Mill zidni norveški radijator, jaèina 1200W, èelièna zaobljena fronta, super precizan elektronski termostat sa 24-satnim programom, funkcija kalibracije temperature, aluminijski grijaè(uèinkovitost+niska površinska temperatura), H nosaè sa vijcima, pogodan za kupaonice(zona2, klasifikacija IPX4 zaštita od vode pod bilo kojim kutem), dužina naponskog kabla 1.3m, težina 6kg, preporuèena velièina prostorije 14-18m?;;Mill;1099;;;;;;2-3 radna dana;;DA;DA;ne;105;40;8.6;1200;bijela;;;
7090019822710;IBDN;Mill norveški radijatori;Mill IB250 Steel - zidni norveški radijator;Mill zidni norveški radijator, jaèina 250W, èelièna zaobljena fronta, precizan elektronski termostat, funkcija kalibracije temperature, aluminijski grijaè(uèinkovitost+niska površinska temperatura), H nosaè sa vijcima, pogodan za kupaonice(zona2, klasifikacija IPX4 zaštita od vode pod bilo kojim kutem), dužina naponskog kabla 0.8m, težina 1,8kg, preporuèena velièina prostorije 2-5m?;;Mill;579;;;;;;2-3 radna dana;;DA;DA;ne;35;30;8.6;250;bijela;;;
7090019821034;IBDN;Mill norveški radijatori;Mill IB600DN Steel - zidni norveški radijator;Mill zidni norveški radijator, jaèina 600W, èelièna zaobljena fronta, super precizan elektronski termostat sa 24-satnim programom, funkcija kalibracije temperature, aluminijski grijaè(uèinkovitost+niska površinska temperatura), H nosaè sa vijcima, pogodan za kupaonice(zona2, klasifikacija IPX4 zaštita od vode pod bilo kojim kutem), dužina naponskog kabla 1.3m, težina 3,8kg, preporuèena velièina prostorije 8-11m?;;Mill;749;;;;;;2-3 radna dana;;DA;DA;ne;65;40;8.6;600;bijela;;;
7090019821713;IBDN;Mill norveški radijatori;Mill IB900DN Steel - zidni norveški radijator;Mill zidni norveški radijator, jaèina 900W, èelièna zaobljena fronta, super precizan elektronski termostat sa 24-satnim programom, funkcija kalibracije temperature, aluminijski grijaè(uèinkovitost+niska površinska temperatura), H nosaè sa vijcima, pogodan za kupaonice(zona2, klasifikacija IPX4 zaštita od vode pod bilo kojim kutem), dužina naponskog kabla 1.3m, težina 5,2kg, preporuèena velièina prostorije 11-15m?;;Mill;919;;;;;;2-3 radna dana;;DA;DA;ne;85;40;8.6;900;bijela;;;
7090019821621;MBDN;Mill norveški radijatori;Mill MB1200DN Glass - zidni norveški radijator;Mill zidni norveški radijator, jaèina 1200W, staklena fronta, super precizan elektronski termostat sa 24-satnim programom, funkcija kalibracije temperature, aluminijski grijaè(uèinkovitost+niska površinska temperatura), H nosaè sa vijcima, pogodan za kupaonice(zona2, klasifikacija IPX4 zaštita od vode pod bilo kojim kutem), dužina naponskog kabla 1.3m, težina 8kg, preporuèena velièina prostorije 14-18m?;;Mill;1279;;;;;;2-3 radna dana;;DA;DA;ne;106.5;40;8;1200;bijela;;;
7090019822727;MBDN;Mill norveški radijatori;Mill MB250 Glass - zidni norveški radijator;Mill zidni norveški radijator, jaèina 300W, staklena fronta, precizan elektronski termostat, funkcija kalibracije temperature, aluminijski grijaè(uèinkovitost+niska površinska temperatura), H nosaè sa vijcima, pogodan za kupaonice(zona2, klasifikacija IPX4 zaštita od vode pod bilo kojim kutem), dužina naponskog kabla 0.8m, težina 2.5kg, preporuèena velièina prostorije 2-5m?;;Mill;629;;;;;;2-3 radna dana;;DA;DA;ne;36.5;30;8;250;bijela;;;
7090019821560;MBDN;Mill norveški radijatori;Mill MB600DN Glass - zidni norveški radijator;Mill zidni norveški radijator, jaèina 600W, staklena fronta, super precizan elektronski termostat sa 24-satnim programom, funkcija kalibracije temperature, aluminijski grijaè(uèinkovitost+niska površinska temperatura), H nosaè sa vijcima, pogodan za kupaonice(zona2, klasifikacija IPX4 zaštita od vode pod bilo kojim kutem), dužina naponskog kabla 1.3m, težina 5,3kg, preporuèena velièina prostorije 8-11m?;;Mill;909;;;;;;2-3 radna dana;;DA;DA;ne;66.5;40;8;600;bijela;;;
7090019822338;NEWIFI;Mill norveški radijatori;Mill NE1000 L WIFI Steel - zidni norveški radijator;"Mill zidni ""slim"" norveški radijator sa integriranim WIFI-om, jaèina 1000W, èelièna fronta, super precizan termostat, napredna kontrola termostata Millheat app+WIFI, funkcija kalibracije temperature, aluminijski grijaè(uèinkovitost+niska površinska temperatura), H nosaè sa vijcima, pogodan za kupaonice(zona2, klasifikacija IPX4 zaštita od vode pod bilo kojim kutem), neèujan rad, dužina naponskog kabla 1.3m, težina 6.5kg, preporuèena velièina prostorije 12-16m?";;Mill;1099;;;;;;2-3 radna dana;;DA;DA;da;121.5;25;8.6;1000;bijela;;;
7090019821973;NEWIFI;Mill norveški radijatori;Mill NE1200WIFI Steel - zidni norveški radijator;Mill zidni norveški radijator sa integriranim WIFI-om, jaèina 1200W, èelièna fronta, super precizan termostat, napredna kontrola termostata Millheat app+WIFI, funkcija kalibracije temperature, aluminijski grijaè(uèinkovitost+niska površinska temperatura), H nosaè sa vijcima, pogodan za kupaonice(zona2, klasifikacija IPX4 zaštita od vode pod bilo kojim kutem), neèujan rad, dužina naponskog kabla 1.3m, težina 7.6kg, preporuèena velièina prostorije 14-18m?;;Mill;1259;;;;;;2-3 radna dana;;DA;DA;da;106.5;40;8.6;1200;bijela;;;
7090019823205;NEWIFI;Mill norveški radijatori;Mill NE1500WIFI Steel - zidni norveški radijator;Mill zidni norveški radijator sa integriranim WIFI-om, jaèina 1500W, èelièna fronta, super precizan termostat, napredna kontrola termostata Millheat app+WIFI, funkcija kalibracije temperature, aluminijski grijaè(uèinkovitost+niska površinska temperatura), H nosaè sa vijcima, pogodan za kupaonice(zona2, klasifikacija IPX4 zaštita od vode pod bilo kojim kutem), neèujan rad, dužina naponskog kabla 1.3m, težina 6.8kg, preporuèena velièina prostorije 18-22m?;;Mill;1459;;;;;;2-3 radna dana;;DA;DA;da;85;40;10.3;1500;bijela;;;
7090019821942;NEWIFI;Mill norveški radijatori;Mill NE600WIFI Steel - zidni norveški radijator;Mill zidni norveški radijator sa integriranim WIFI-om, jaèina 600W, èelièna fronta, super precizan termostat, napredna kontrola termostata Millheat app+WIFI, funkcija kalibracije temperature, aluminijski grijaè(uèinkovitost+niska površinska temperatura), H nosaè sa vijcima, pogodan za kupaonice(zona2, klasifikacija IPX4 zaštita od vode pod bilo kojim kutem), neèujan rad, dužina naponskog kabla 1.3m, težina 5.1kg, preporuèena velièina prostorije 8-11m?;;Mill;919;;;;;;2-3 radna dana;;DA;DA;da;65;40;8.6;600;bijela;;;
7090019822321;NEWIFI;Mill norveški radijatori;Mill NE900WIFI Steel - zidni norveški radijator;Mill zidni norveški radijator sa integriranim WIFI-om, jaèina 900W, èelièna fronta, super precizan termostat, napredna kontrola termostata Millheat app+WIFI, funkcija kalibracije temperature, aluminijski grijaè(uèinkovitost+niska površinska temperatura), H nosaè sa vijcima, pogodan za kupaonice(zona2, klasifikacija IPX4 zaštita od vode pod bilo kojim kutem), neèujan rad, dužina naponskog kabla 1.3m, težina 6.4kg, preporuèena velièina prostorije 11-15m?;;Mill;1119;;;;;;2-3 radna dana;;DA;DA;da;85;40;8.6;900;bijela;;;
7090019822284;;Mill konvektori;Mill SG1200WIFI samostojeæi konvektor;Mill prijenosni konvektor sa integriranim WIFI-om, jaèina 1200W, LED zaslon, Millheat app+WIFI termostat, aluminijski grijaèi element, èeliène fronte, ventilator za brzo zagrijavanje, aluminijsko postolje, tip-over prekidaè(automatsko iskljuèivanje ukoliko se prevrne), zaštita od pregrijavanja(automatsko iskljuèivanje), dužina naponskog kabla 1.6m, težina 4.4kg, preporuèena velièina prostorije 5-20m?;;Mill;1099;;;;;;2-3 radna dana;;DA;DA;da;62;33.5;9.5;1200;bijela;;;
7090019821751;;Mill konvektori;Mill SG2000GLASS samostojeæi konvektor;Mill prijenosni konvektor, jaèina 2000W, 3 stupnja podešavanja jaèine 750/1250/2000W, LED zaslon, elektronski termostat, fronte od kaljenog stakla u bijeloj boji, ventilator za brzo zagrijavanje, aluminijsko postolje, tip-over prekidaè(automatsko iskljuèivanje ukoliko se prevrne), zaštita od pregrijavanja(automatsko iskljuèivanje), dužina naponskog kabla 1.6m, težina 8kg, za prostorije 5-20m?;;Mill;1259;;;;;;2-3 radna dana;;DA;DA;ne;62;40.2;21;2000;bijela;;;
7090019822017;;Mill konvektori;Mill SG2000LED BLACK samostojeæi konvektor;Mill prijenosni konvektor, jaèina 2000W, 3 stupnja podešavanja jaèine 750/1250/2000W, LED zaslon, elektronski termostat, èeliène fronte u crnoj boji, ventilator za brzo zagrijavanje, aluminijsko postolje, tip-over prekidaè(automatsko iskljuèivanje ukoliko se prevrne), zaštita od pregrijavanja(automatsko iskljuèivanje), dužina naponskog kabla 1.6m, težina 4.4kg, za prostorije 5-20m?;;Mill;879;;;;;;2-3 radna dana;;DA;DA;ne;62;39;8.3;2000;crna;;;
7090019821133;;Mill konvektori;Mill SG2000LED samostojeæi konvektor;Mill prijenosni konvektor, jaèina 2000W, 3 stupnja podešavanja jaèine 750/1250/2000W, LED zaslon, elektronski termostat, èeliène fronte u bijeloj boji, ventilator za brzo zagrijavanje, aluminijsko postolje, tip-over prekidaè(automatsko iskljuèivanje ukoliko se prevrne), zaštita od pregrijavanja(automatsko iskljuèivanje), dužina naponskog kabla 1.6m, težina 4.4kg, za prostorije 5-20m?;;Mill;829;;;;;;2-3 radna dana;;DA;DA;ne;62;39;8.3;2000;bijela;;;
