sku;model;podkategorija;naziv;kratki opis;dugi opis;proizvoðaè;cijena;popust (koeficjent, npr. 0.1);zaliha;novo (da/ne);akcija (da/ne);najprodavaniji (da/ne);vrijeme dostave (dana);redoslijed (0,1,2...);besplatna dostava (da/ne);best buy (da/ne);wifi (da/ne);širina (cm);visina (cm);dubina (cm);snaga (W);boja;energetski razred;ne propustite priliku (da/ne);insert (bioetanol/elektrièni)
7090019823182;;Mill dodaci;Mill WIFI Utiènica - adapter;Mill WIFI utèinica sa integriranim senzorom temperature, za sve grijalice sa mehanièkim termostatom spaja ih na WIFI te pomoæu Millheat app upravljajte svojim grijalicama od bilo kuda u svijetu, integrirani senzor temperature, max. jaèina do 2300W, Millheat app+WIFI termostat, plastièno kuèište, zaštita od pregrijavanja(automatsko iskljuèivanje), težina 0.85kg;;Mill;339;;;;;;2-3 radna dana;;DA;DA;da;15;21;8;2300;bijela;;;
202666;Juneau;Inserti;Dimplex Juneau XL;Dimplex Juneau XL je ugradbena kazeta za jednostavne instalacije koju možete i sami napraviti, ukljuèite u struju i napunite filtriranom vodom. Opti-myst tehnologija nastaje osvjetljavanjem ultra fine vodene pare te tako nastaje trodimenzionalni uèinak vatre i dima. Elektrièni plamen nikad nije bio ovako realistièan. Dimplex Juneau XL Opti-myst je od sada praktièniji i jednostavniji za postavljanje/ugradnju jer ima ladicu sa rezervoarom za vodu na prednjoj strani kazete. Max.potrošnja 400W, daljinski upravljaè ukljuèen, dekorativna LED drva ukljuèena, bez grijanja, boja mat crna, dužina naponskog kabla 1.5m, težina 15kg, jamstvo 2 godine;;Dimplex ;12490;;;;;;10 - 15 radnih dana;;DA;DA;ne;;;;;;;;
204226;Cassette;Inserti;Dimplex Cassette 600 ;Dimplex Cassette 600 je ugradbena kazeta za jednostavne instalacije koju možete i sami napraviti, ukljuèite u struju i napunite filtriranom vodom. Opti-myst tehnologija plamena nastaje osvjetljavanjem ultra fine vodene pare te tako nastaje trodimenzionalni uèinak vatre i dima. Elektrièni plamen nikad nije bio ovako realistièan. Cassette 600 Opti-myst je od sada praktièniji i jednostavniji za postavljanje/ugradnju jer je rezervoar za vodu skriven ispod drva. Max.potrošnja 200W, daljinski upravljaè ukljuèen, dekorativna LED drva ukljuèena, bez grijanja, boja mat crna, dužina naponskog kabla 1.5m, težina 7kg, jamstvo 2 godine.;;Dimplex ;5190;;;;;;2-3 radna dana;;DA;DA;ne;;;;;;;;
204516;Cassette;Inserti;Dimplex Cassette 400 ;Dimplex Cassette 400 je ugradbena kazeta za jednostavne instalacije koju možete i sami napraviti, ukljuèite u struju i napunite filtriranom vodom. Opti-myst tehnologija plamena nastaje osvjetljavanjem ultra fine vodene pare te tako nastaje trodimenzionalni uèinak vatre i dima. Elektrièni plamen nikad nije bio ovako realistièan. Cassette 400 Opti-myst je od sada praktièniji i jednostavniji za postavljanje/ugradnju jer je rezervoar za vodu skriven ispod drva. Max.potrošnja 200W, daljinski upravljaè ukljuèen, dekorativna LED drva ukljuèena, bez grijanja, boja mat crna, dužina naponskog kabla 1.5m, težina 4kg, jamstvo 2 godine.;;Dimplex ;4690;;;;;;10 - 15 radnih dana;;DA;DA;ne;;;;;;;;
202086;Juneau;Inserti;Dimplex Juneau ;Dimplex Juneau je ugradbena kazeta za jednostavne instalacije koju možete i sami napraviti, ukljuèite u struju i napunite filtriranom vodom. Opti-myst tehnologija nastaje osvjetljavanjem ultra fine vodene pare te tako nastaje trodimenzionalni uèinak vatre i dima. Elektrièni plamen nikad nije bio ovako realistièan. Dimplex Juneau Opti-myst je od sada praktièniji i jednostavniji za postavljanje/ugradnju jer ima ladicu sa rezervoarom za vodu na prednjoj strani kazete. Max.potrošnja 250W, daljinski upravljaè ukljuèen, dekorativna LED drva ukljuèena, bez grijanja, boja mat crna, dužina naponskog kabla 1.5m, težina 15kg, jamstvo 2 godine.;;Dimplex ;8890;;;;;;10 - 15 radnih dana;;DA;DA;ne;;;;;;;;
210661;CassetteR;Inserti;Dimplex Cassette 1000R;Dimplex Cassette 1000R je ugradbena kazeta za jednostavne instalacije koju možete i sami napraviti, ukljuèite u struju i napunite filtriranom vodom. Opti-myst tehnologija plamena nastaje osvjetljavanjem ultra fine vodene pare te tako nastaje trodimenzionalni uèinak vatre i dima. Elektrièni plamen nikad nije bio ovako realistièan. Dimplex Cassette 1000R Opti-myst je od sada praktièniji i jednostavniji za postavljanje/ugradnju jer je rezervoar za vodu skriven ispod drva. Max.potrošnja 440W, daljinski upravljaè ukljuèen, dekorativna LED drva nisu ukljuèena - opcionalno, integriran zvuèni modul sa efektom pucketanja vatre, nema grijanja, boja mat crna, dužina naponskog kabla 1.5m, težina 16kg, jamstvo 2 godine. ;;Dimplex ;14690;;;;;;10 - 15 radnih dana;;DA;DA;ne;;;;;;;;
202789;;Inserti;Dimplex Cassette L ;;;Dimplex ;12790;;;;;;10 - 15 radnih dana;;DA;DA;ne;;;;;;;;
210654;CassetteR;Inserti;Dimplex Cassette 250  ;Dimplex Cassette 500R je ugradbena kazeta za jednostavne instalacije koju možete i sami napraviti, ukljuèite u struju i napunite filtriranom vodom. Opti-myst tehnologija plamena nastaje osvjetljavanjem ultra fine vodene pare te tako nastaje trodimenzionalni uèinak vatre i dima. Elektrièni plamen nikad nije bio ovako realistièan. Dimplex Cassette 1000R Opti-myst je od sada praktièniji i jednostavniji za postavljanje/ugradnju jer je rezervoar za vodu skriven ispod drva. Max.potrošnja 220W, daljinski upravljaè ukljuèen, dekorativna LED drva nisu ukljuèena - opcionalno, integriran zvuèni modul sa efektom pucketanja vatre, nema grijanja, boja mat crna, dužina naponskog kabla 1.5m, težina 7kg, jamstvo 2 godine.;;Dimplex ;8490;;;;;;10 - 15 radnih dana;;DA;DA;ne;;;;;;;;
210388;Cassette;Inserti;Dimplex Cassette 500C;;;Dimplex ;4290;;;;;;10 - 15 radnih dana;;DA;DA;ne;;;;;;;;
210678;CassetteC;Inserti;Dimplex Cassette 1000C;;;Dimplex ;9490;;;;;;10 - 15 radnih dana;;;;;;;;;;;;
210685;CassetteC;Inserti;Dimplex Cassette 400 LED;;;Dimplex ;15390;;;;;;10 - 15 radnih dana;;;;;;;;;;;;
210791;;Inserti;Dimplex Silverton ;;;Dimplex ;5090;;;;;;10 - 15 radnih dana;;;;;;;;;;;;
204554;;Inserti;"Dimplex Revillusion log set 20""";;;Dimplex ;5990;;;;;;;;;;;;;;;;;;
211156;;Inserti;Dimplex Danville Brass antique;;;Dimplex ;3290;;;;;;;;;;;;;;;;;;
202536;;Inserti;Dimplex Danville Black;;;Dimplex ;7590;;;;;;;;;;;;;;;;;;
202550;;Inserti;Dimplex Danville Chrome;;;Dimplex ;7290;;;;;;;;;;;;;;;;;;
202567;;Inserti;Dimplex Opti-V Double;;;Dimplex ;7590;;;;;;;;;;;;;;;;;;
204929;Opti-V;Ugradbeni kamini;Dimplex Opti-V Single;;;Dimplex ;36390;;;;;;10 - 15 radnih dana;;;;;;;;;;;;
204912;Opti-V;Ugradbeni kamini;"Dimplex Ignite XL 74""";;;Dimplex ;19490;;;;;;10 - 15 radnih dana;;;;;;;;;;;;
210289;Ignite;Ugradbeni kamini/Zidni kamin;"Dimplex Ignite XL 50""";;;Dimplex ;11090;;;;;;2-3 radna dana;;;;;;;;;;;;
210272;Ignite;Ugradbeni kamini/Zidni kamin;"Dimplex Prism 34""";;;Dimplex ;8690;;;;;;2-3 radna dana;;;;;;;;;;;;
208378;Prism;Ugradbeni kamini/Zidni kamin;"Dimplex Prism 50""";;;Dimplex ;5290;;;;;;;;;;;;;;;;;;
209900;Prism;Ugradbeni kamini/Zidni kamin;"Dimplex Prism 74""";;;Dimplex ;6590;;;;;;;;;;;;;;;;;;
209917;Prism;Ugradbeni kamini/Zidni kamin;Dimplex BLF 50 Synergy ;;;Dimplex ;10490;;;;;;;;;;;;;;;;;;
209887;;Ugradbeni kamini/Zidni kamin;Dimplex Vega ;;;Dimplex ;6590;;;;;;;;;;;;;;;;;;
117489;;Ugradbeni kamini;Dimplex 3 Step ;;;Dimplex ;9190;;;;;;;;;;;;;;;;;;
210166;;Ugradbeni kamini;Dimplex Rana ;;;Dimplex ;21990;;;;;;;;;;;;;;;;;;
116642;;Ugradbeni kamini;Dimplex Gala ;;;Dimplex ;8890;;;;;;;;;;;;;;;;;;
201447;;Ugradbeni kamini;Dimplex Albany ;;;Dimplex ;12290;;;;;;;;;;;;;;;;;;
210173;;Ugradbeni kamini;Dimplex Engine 68-400 ;;;Dimplex ;12490;;;;;;;;;;;;;;;;;;
210258;;Ugradbeni kamini;Dimplex Engine 56-600 B ;;;Dimplex ;8290;;;;;;;;;;;;;;;;;;
210210;;Ugradbeni kamini;Dimplex Engine 56-400 ;;;Dimplex ;9890;;;;;;;;;;;;;;;;;;
210234;;Ugradbeni kamini;Dimplex Revillusion Firebox 30' ;;;Dimplex ;8290;;;;;;;;;;;;;;;;;;
210357;Revillusion firebox;Ugradbeni kamini;Dimplex Revillusion FireBox 36' ;;;Dimplex ;7290;;;;;;;;;;;;;;;;;;
210364;Revillusion firebox;Ugradbeni kamini;"Dimplex DF3020 - 30"" firebox";;;Dimplex ;7990;;;;;;;;;;;;;;;;;;
208286;Firebox;Ugradbeni kamini;"Dimplex 28"" Firebox - XHD28";;;Dimplex ;4790;;;;;;;;;;;;;;;;;;
211002;XHD;Ugradbeni kamini;"Dimplex DF2550 - 25"" firebox";;;Dimplex ;3290;;;;;;;;;;;;;;;;;;
208323;Firebox;Ugradbeni kamini;"Dimplex DF2624L - 26"" firebox";;;Dimplex ;2690;;;;;;;;;;;;;;;;;;
208316;Firebox;Ugradbeni kamini;"Dimplex DF2010 - 20"" firebox";;;Dimplex ;2790;;;;;;;;;;;;;;;;;;
208002;Firebox;Ugradbeni kamini;Dimplex Viotta de Luxe ;;;Dimplex ;2390;;;;;;;;;;;;;;;;;;
208231;;Ugradbeni kamini;"Dimplex 23"" Firebox - XHD23";;;Dimplex ;1990;;;;;;;;;;;;;;;;;;
210951;XHD;Ugradbeni kamini;"Dimplex 26"" Firebox - XHD26";;;Dimplex ;2690;;;;;;;;;;;;;;;;;;
210975;XHD;Ugradbeni kamini;Dimplex SP16E Black;;;Dimplex ;2790;;;;;;;;;;;;;;;;;;
209863;;Zidni kamini;Dimplex Toluca de Luxe ;;;Dimplex ;7490;;;;;;;;;;;;;;;;;;
210418;;Zidni kamini;Dimplex Bizet Black / White  ;;;Dimplex ;3890;;;;;;;;;;;;;;;;;;
208354;;Zidni kamini;Dimplex Verdi;;;Dimplex ;4590;;;;;;;;;;;;;;;;;;
206275;;Samostojeæi kamini;Dimplex Cubic ;;;Dimplex ;12590;;;;;;;;;;;;;;;;;;
207425;;Samostojeæi kamini;Dimplex Haydn ;;;Dimplex ;10090;;;;;;;;;;;;;;;;;;
210494;;Samostojeæi kamini;Dimplex Strata ;;;Dimplex ;12790;;;;;;;;;;;;;;;;;;
210500;;Samostojeæi kamini;Dimplex Mozart White HG;;;Dimplex ;11990;;;;;;;;;;;;;;;;;;
208248;;Samostojeæi kamini;Dimplex Scandic;;;Dimplex ;4920;;;;;;;;;;;;;;;;;;
208200;;Samostojeæi kamini;Dimplex Beethoven antique ;;;Dimplex ;4890;;;;;;;;;;;;;;;;;;
207906;;Samostojeæi kamini;Dimplex Gisella White ;;;Dimplex ;5190;;;;;;;;;;;;;;;;;;
208392;;Samostojeæi kamini;Dimplex Nordic;;;Dimplex ;3390;;;;;;;;;;;;;;;;;;
208187;;Samostojeæi kamini;Dimplex Beethoven walnut ;;;Dimplex ;4690;;;;;;;;;;;;;;;;;;
207876;;Samostojeæi kamini;Dimplex Bellini concrete  ;;;Dimplex ;6290;;;;;;;;;;;;;;;;;;
210449;;Samostojeæi kamini;Dimplex Chopin ;;;Dimplex ;4290;;;;;;;;;;;;;;;;;;
210470;;Samostojeæi kamini;Dimplex Bellini White;;;Dimplex ;7590;;;;;;;;;;;;;;;;;;
211149;;Samostojeæi kamini;Dimplex Bellini Black;;;Dimplex ;4290;;;;;;;;;;;;;;;;;;
211132;;Samostojeæi kamini;Dimplex Sherwood;;;Dimplex ;4290;;;;;;;;;;;;;;;;;;
210937;;Samostojeæi kamini;Dimplex Bellini Brown ;;;Dimplex ;12690;;;;;;;;;;;;;;;;;;
210456;;Samostojeæi kamini;Dimplex Mini Mozart Stone ;;;Dimplex ;4290;;;;;;;;;;;;;;;;;;
208415;;Samostojeæi kamini;Dimplex Isola Stone White;;;Dimplex ;3190;;;;;;;;;;;;;;;;;;
SET001;;Samostojeæi kamini;Dimplex Isola Stone Grey;;;Dimplex ;11390;;;;;;;;;;;;;;;;;;
SET002;;Samostojeæi kamini;Dimplex Sunningdale ;;;Dimplex ;11390;;;;;;;;;;;;;;;;;;
207784;;Samostojeæi kamini;Dimplex Opti-V 360;;;Dimplex ;18390;;;;;;;;;;;;;;;;;;
206336;;Samostojeæi kamini;Dimplex Lucia Stove;;;Dimplex ;16490;;;;;;;;;;;;;;;;;;
211255;;Samostojeæi kamini;Dimplex Stockbridge ;;;Dimplex ;2950;;;;;;;;;;;;;;;;;;
206398;;Samostojeæi kamini;Dimplex LED Logset ;;;Dimplex ;7990;;;;;;;;;;;;;;;;;;
206350;;Dimplex dodaci;Dimplex LED L;;;Dimplex ;2590;;;;;;;;;;;;;;;;;;
206367;;Dimplex dodaci;Dimplex Mirror back panel Engine 68-400;;;Dimplex ;3490;;;;;;;;;;;;;;;;;;
205421;;Dimplex dodaci;Dimplex Mirror back panel Engine 56-400;;;Dimplex ;489;;;;;;;;;;;;;;;;;;
205414;;Dimplex dodaci;Dimplex Aluminium fuel bed 400;;;Dimplex ;489;;;;;;;;;;;;;;;;;;
204202;;Dimplex dodaci;Dimplex Transducer standard;;;Dimplex ;679;;;;;;;;;;;;;;;;;;
06023133;;Dimplex dodaci;Dimplex Transducer 500/1000;;;Dimplex ;349;;;;;;;;;;;;;;;;;;
06023602;;Dimplex dodaci;Halogen bulb 4pack;;;Dimplex ;349;;;;;;;;;;;;;;;;;;
06023090;;Dimplex dodaci;Halogen bulb 5pack;;;Dimplex ;179;;;;;;;;;;;;;;;;;;
06022999;;Dimplex dodaci;Driftwood Ignite XL 50 ;;;Dimplex ;189;;;;;;;;;;;;;;;;;;
LF50DWS-KIT;;Dimplex dodaci;Driftwood Ignite XL 74  ;;;Dimplex ;749;;;;;;;;;;;;;;;;;;
LF74DWS-KIT;;Dimplex dodaci;;;;Dimplex ;1090;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
